Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production
HAR,Chinook salmon,Terminal Run,2017,1986,1981,5,NA,NA,5549,NA,NA,NA
,,,NA,1985,1981,4,NA,NA,111212,NA,NA,NA
,,,NA,1984,1981,3,NA,NA,45146,NA,NA,NA
,,,NA,1987,1982,5,NA,NA,10108,NA,NA,NA
,,,NA,1986,1982,4,NA,NA,139135,NA,NA,NA
,,,NA,1985,1982,3,NA,NA,54287,NA,NA,NA
,,,NA,1988,1983,5,NA,NA,2201,NA,NA,NA
,,,NA,1987,1983,4,NA,NA,53505,NA,NA,NA
,,,NA,1986,1983,3,NA,NA,18046,NA,NA,NA
,,,NA,1989,1984,5,NA,NA,4801,NA,NA,NA
,,,NA,1988,1984,4,NA,NA,28657,NA,NA,NA
,,,NA,1987,1984,3,NA,NA,16077,NA,NA,NA
,,,NA,1990,1985,5,NA,NA,5359,NA,NA,NA
,,,NA,1989,1985,4,NA,NA,24928,NA,NA,NA
,,,NA,1988,1985,3,NA,NA,4400,NA,NA,NA
,,,NA,1991,1986,5,NA,NA,11883,NA,NA,NA
,,,NA,1990,1986,4,NA,NA,155791,NA,NA,NA
,,,NA,1989,1986,3,NA,NA,46021,NA,NA,NA
,,,NA,1992,1987,5,NA,NA,3274,NA,NA,NA
,,,NA,1991,1987,4,NA,NA,48923,NA,NA,NA
,,,NA,1990,1987,3,NA,NA,16977,NA,NA,NA
,,,NA,1993,1988,5,NA,NA,5928,NA,NA,NA
,,,NA,1992,1988,4,NA,NA,92726,NA,NA,NA
,,,NA,1991,1988,3,NA,NA,30975,NA,NA,NA
,,,NA,1994,1989,5,NA,NA,2715,NA,NA,NA
,,,NA,1993,1989,4,NA,NA,66668,NA,NA,NA
,,,NA,1992,1989,3,NA,NA,35883,NA,NA,NA
,,,NA,1995,1990,5,NA,NA,4610,NA,NA,NA
,,,NA,1994,1990,4,NA,NA,86865,NA,NA,NA
,,,NA,1993,1990,3,NA,NA,47446,NA,NA,NA
,,,NA,1996,1991,5,NA,NA,950,NA,NA,NA
,,,NA,1995,1991,4,NA,NA,12992,NA,NA,NA
