Stock_Name,Stock_Abundance,Stock_Species,Forecasting_Year,Run_Year,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production
NTH,Terminal Run,Chinook salmon,2017,1979,NA,NA,66358,NA,NA,NA
,,,,1980,NA,NA,74611,NA,NA,NA
,,,,1981,NA,NA,77899,NA,NA,NA
,,,,1982,NA,NA,82030,NA,NA,NA
,,,,1983,NA,NA,80559,NA,NA,NA
,,,,1984,NA,NA,105611,NA,NA,NA
,,,,1985,NA,NA,139111,NA,NA,NA
,,,,1986,NA,NA,162760,NA,NA,NA
,,,,1987,NA,NA,147530,NA,NA,NA
,,,,1988,NA,NA,171564,NA,NA,NA
,,,,1989,NA,NA,184225,NA,NA,NA
,,,,1990,NA,NA,172722,NA,NA,NA
,,,,1991,NA,NA,156834,NA,NA,NA
,,,,1992,NA,NA,189546,NA,NA,NA
,,,,1993,NA,NA,188133,NA,NA,NA
,,,,1994,NA,NA,140106,NA,NA,NA
,,,,1995,NA,NA,117122,NA,NA,NA
,,,,1996,NA,NA,218251,NA,NA,NA
,,,,1997,NA,NA,148144,NA,NA,NA
,,,,1998,NA,NA,143545,NA,NA,NA
,,,,1999,NA,NA,154294,NA,NA,NA
,,,,2000,NA,NA,188482,NA,NA,NA
,,,,2001,NA,NA,212176,NA,NA,NA
,,,,2002,NA,NA,147381,NA,NA,NA
,,,,2003,NA,NA,165029,NA,NA,NA
,,,,2004,NA,NA,153292,NA,NA,NA
,,,,2005,NA,NA,132480,NA,NA,NA
,,,,2006,NA,NA,151915,NA,NA,NA
,,,,2007,NA,NA,123388,NA,NA,NA
,,,,2008,NA,NA,112038,NA,NA,NA
,,,,2009,NA,NA,127131,NA,NA,NA
,,,,2010,NA,NA,114904,NA,NA,NA
,,,,2011,NA,NA,95091,NA,NA,NA
,,,,2012,NA,NA,80339,NA,NA,NA
,,,,2013,NA,NA,94564,NA,NA,NA
,,,,2014,NA,NA,95975,NA,NA,NA
,,,,2015,NA,NA,154141,NA,NA,NA
,,,,2016,NA,NA,99656,NA,NA,NA
