Stock_Name,Stock_Abundance,Stock_Species,Forecasting_Year,Run_Year,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production
SPR_SUMM,Terminal Run,Chinook salmon,2017,1975,NA,NA,74961,NA,NA,NA
,,,,1976,NA,NA,33901,NA,NA,NA
,,,,1977,NA,NA,59136,NA,NA,NA
,,,,1978,NA,NA,62574,NA,NA,NA
,,,,1979,NA,NA,111178,NA,NA,NA
,,,,1980,NA,NA,75217,NA,NA,NA
,,,,1981,NA,NA,68175,NA,NA,NA
,,,,1982,NA,NA,74074,NA,NA,NA
,,,,1983,NA,NA,73881,NA,NA,NA
,,,,1984,NA,NA,98204,NA,NA,NA
,,,,1985,NA,NA,121026,NA,NA,NA
,,,,1986,NA,NA,152988,NA,NA,NA
,,,,1987,NA,NA,133323,NA,NA,NA
,,,,1988,NA,NA,137326,NA,NA,NA
,,,,1989,NA,NA,114251,NA,NA,NA
,,,,1990,NA,NA,138529,NA,NA,NA
,,,,1991,NA,NA,116353,NA,NA,NA
,,,,1992,NA,NA,125100,NA,NA,NA
,,,,1993,NA,NA,116888,NA,NA,NA
,,,,1994,NA,NA,159492,NA,NA,NA
,,,,1995,NA,NA,148060,NA,NA,NA
,,,,1996,NA,NA,199299,NA,NA,NA
,,,,1997,NA,NA,206580,NA,NA,NA
,,,,1998,NA,NA,182888,NA,NA,NA
,,,,1999,NA,NA,155113,NA,NA,NA
,,,,2000,NA,NA,154402,NA,NA,NA
,,,,2001,NA,NA,207031,NA,NA,NA
,,,,2002,NA,NA,256111,NA,NA,NA
,,,,2003,NA,NA,253139,NA,NA,NA
,,,,2004,NA,NA,215389,NA,NA,NA
,,,,2005,NA,NA,183893,NA,NA,NA
,,,,2006,NA,NA,274887,NA,NA,NA
,,,,2007,NA,NA,138742,NA,NA,NA
,,,,2008,NA,NA,192912,NA,NA,NA
,,,,2009,NA,NA,175489,NA,NA,NA
,,,,2010,NA,NA,256391,NA,NA,NA
,,,,2011,NA,NA,215814,NA,NA,NA
,,,,2012,NA,NA,113284,NA,NA,NA
,,,,2013,NA,NA,176307,NA,NA,NA
,,,,2014,NA,NA,211053,NA,NA,NA
,,,,2015,NA,NA,281935,NA,NA,NA
,,,,2016,NA,NA,139164,NA,NA,NA
