Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production
SPR,Chinook salmon,Terminal Run,2013,1968,1966,2,NA,NA,2700,NA,NA,NA
,,,NA,1969,1966,3,NA,NA,59800,NA,NA,NA
,,,NA,1970,1966,4,NA,NA,45500,NA,NA,NA
,,,NA,1971,1966,5,NA,NA,100,NA,NA,NA
,,,NA,1972,1966,6,NA,NA,80,NA,NA,NA
,,,NA,1969,1967,2,NA,NA,5700,NA,NA,NA
,,,NA,1970,1967,3,NA,NA,115600,NA,NA,NA
,,,NA,1971,1967,4,NA,NA,47200,NA,NA,NA
,,,NA,1972,1967,5,NA,NA,600,NA,NA,NA
,,,NA,1973,1967,6,NA,NA,450,NA,NA,NA
,,,NA,1970,1968,2,NA,NA,4500,NA,NA,NA
,,,NA,1971,1968,3,NA,NA,68200,NA,NA,NA
,,,NA,1972,1968,4,NA,NA,23400,NA,NA,NA
,,,NA,1973,1968,5,NA,NA,2000,NA,NA,NA
,,,NA,1974,1968,6,NA,NA,1500,NA,NA,NA
,,,NA,1971,1969,2,NA,NA,3500,NA,NA,NA
,,,NA,1972,1969,3,NA,NA,21700,NA,NA,NA
,,,NA,1973,1969,4,NA,NA,54700,NA,NA,NA
,,,NA,1974,1969,5,NA,NA,1900,NA,NA,NA
,,,NA,1975,1969,6,NA,NA,1860,NA,NA,NA
,,,NA,1972,1970,2,NA,NA,5700,NA,NA,NA
,,,NA,1973,1970,3,NA,NA,56100,NA,NA,NA
,,,NA,1974,1970,4,NA,NA,25200,NA,NA,NA
,,,NA,1975,1970,5,NA,NA,11300,NA,NA,NA
,,,NA,1976,1970,6,NA,NA,10200,NA,NA,NA
,,,NA,1973,1971,2,NA,NA,8000,NA,NA,NA
,,,NA,1974,1971,3,NA,NA,43100,NA,NA,NA
,,,NA,1975,1971,4,NA,NA,43500,NA,NA,NA
,,,NA,1976,1971,5,NA,NA,8700,NA,NA,NA
,,,NA,1977,1971,6,NA,NA,6900,NA,NA,NA
,,,NA,1974,1972,2,NA,NA,6200,NA,NA,NA
,,,NA,1975,1972,3,NA,NA,129300,NA,NA,NA
