Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production
WCVI,Chinook salmon,Terminal Run,2017,1979,1976,3,NA,NA,84312,NA,NA,NA
,,,NA,1980,1976,4,NA,NA,61633,NA,NA,NA
,,,NA,1981,1976,5,NA,NA,10136,NA,NA,NA
,,,NA,1980,1977,3,NA,NA,27138,NA,NA,NA
,,,NA,1981,1977,4,NA,NA,23531,NA,NA,NA
,,,NA,1982,1977,5,NA,NA,10815,NA,NA,NA
,,,NA,1981,1978,3,NA,NA,64197,NA,NA,NA
,,,NA,1982,1978,4,NA,NA,72313,NA,NA,NA
,,,NA,1983,1978,5,NA,NA,32634,NA,NA,NA
,,,NA,1982,1979,3,NA,NA,67414,NA,NA,NA
,,,NA,1983,1979,4,NA,NA,83384,NA,NA,NA
,,,NA,1984,1979,5,NA,NA,26193,NA,NA,NA
,,,NA,1983,1980,3,NA,NA,35899,NA,NA,NA
,,,NA,1984,1980,4,NA,NA,100567,NA,NA,NA
,,,NA,1985,1980,5,NA,NA,13962,NA,NA,NA
,,,NA,1984,1981,3,NA,NA,29041,NA,NA,NA
,,,NA,1985,1981,4,NA,NA,57661,NA,NA,NA
,,,NA,1986,1981,5,NA,NA,11135,NA,NA,NA
,,,NA,1985,1982,3,NA,NA,66208,NA,NA,NA
,,,NA,1986,1982,4,NA,NA,61190,NA,NA,NA
,,,NA,1987,1982,5,NA,NA,8858,NA,NA,NA
,,,NA,1986,1983,3,NA,NA,4076,NA,NA,NA
,,,NA,1987,1983,4,NA,NA,9970,NA,NA,NA
,,,NA,1988,1983,5,NA,NA,10706,NA,NA,NA
,,,NA,1987,1984,3,NA,NA,78863,NA,NA,NA
,,,NA,1988,1984,4,NA,NA,102842,NA,NA,NA
,,,NA,1989,1984,5,NA,NA,36976,NA,NA,NA
,,,NA,1988,1985,3,NA,NA,32630,NA,NA,NA
,,,NA,1989,1985,4,NA,NA,68883,NA,NA,NA
,,,NA,1990,1985,5,NA,NA,32242,NA,NA,NA
,,,NA,1989,1986,3,NA,NA,76029,NA,NA,NA
,,,NA,1990,1986,4,NA,NA,108625,NA,NA,NA
,,,NA,1991,1986,5,NA,NA,80181,NA,NA,NA
,,,NA,1990,1987,3,NA,NA,78636,NA,NA,NA
,,,NA,1991,1987,4,NA,NA,146369,NA,NA,NA
,,,NA,1992,1987,5,NA,NA,76338,NA,NA,NA
,,,NA,1991,1988,3,NA,NA,74017,NA,NA,NA
,,,NA,1992,1988,4,NA,NA,140936,NA,NA,NA
,,,NA,1993,1988,5,NA,NA,68465,NA,NA,NA
,,,NA,1992,1989,3,NA,NA,70990,NA,NA,NA
,,,NA,1993,1989,4,NA,NA,155908,NA,NA,NA
,,,NA,1994,1989,5,NA,NA,63298,NA,NA,NA
,,,NA,1993,1990,3,NA,NA,47341,NA,NA,NA
,,,NA,1994,1990,4,NA,NA,110360,NA,NA,NA
,,,NA,1995,1990,5,NA,NA,67590,NA,NA,NA
,,,NA,1994,1991,3,NA,NA,5904,NA,NA,NA
,,,NA,1995,1991,4,NA,NA,22719,NA,NA,NA
,,,NA,1996,1991,5,NA,NA,23262,NA,NA,NA
,,,NA,1995,1992,3,NA,NA,3127,NA,NA,NA
,,,NA,1996,1992,4,NA,NA,22681,NA,NA,NA
,,,NA,1997,1992,5,NA,NA,6445,NA,NA,NA
,,,NA,1996,1993,3,NA,NA,58827,NA,NA,NA
,,,NA,1997,1993,4,NA,NA,86191,NA,NA,NA
,,,NA,1998,1993,5,NA,NA,37897,NA,NA,NA
,,,NA,1997,1994,3,NA,NA,54497,NA,NA,NA
,,,NA,1998,1994,4,NA,NA,148202,NA,NA,NA
,,,NA,1999,1994,5,NA,NA,65263,NA,NA,NA
,,,NA,1998,1995,3,NA,NA,8872,NA,NA,NA
,,,NA,1999,1995,4,NA,NA,32481,NA,NA,NA
,,,NA,2000,1995,5,NA,NA,13250,NA,NA,NA
,,,NA,1999,1996,3,NA,NA,7293,NA,NA,NA
,,,NA,2000,1996,4,NA,NA,21513,NA,NA,NA
,,,NA,2001,1996,5,NA,NA,10725,NA,NA,NA
,,,NA,2000,1997,3,NA,NA,3934,NA,NA,NA
,,,NA,2001,1997,4,NA,NA,19019,NA,NA,NA
,,,NA,2002,1997,5,NA,NA,5689,NA,NA,NA
,,,NA,2001,1998,3,NA,NA,59400,NA,NA,NA
,,,NA,2002,1998,4,NA,NA,114201,NA,NA,NA
,,,NA,2003,1998,5,NA,NA,37959,NA,NA,NA
,,,NA,2002,1999,3,NA,NA,47607,NA,NA,NA
,,,NA,2003,1999,4,NA,NA,135766,NA,NA,NA
,,,NA,2004,1999,5,NA,NA,69496,NA,NA,NA
,,,NA,2003,2000,3,NA,NA,43887,NA,NA,NA
,,,NA,2004,2000,4,NA,NA,84260,NA,NA,NA
,,,NA,2005,2000,5,NA,NA,19571,NA,NA,NA
,,,NA,2004,2001,3,NA,NA,108071,NA,NA,NA
,,,NA,2005,2001,4,NA,NA,107578,NA,NA,NA
,,,NA,2006,2001,5,NA,NA,31911,NA,NA,NA
,,,NA,2005,2002,3,NA,NA,29385,NA,NA,NA
,,,NA,2006,2002,4,NA,NA,89271,NA,NA,NA
,,,NA,2007,2002,5,NA,NA,15665,NA,NA,NA
,,,NA,2006,2003,3,NA,NA,76354,NA,NA,NA
,,,NA,2007,2003,4,NA,NA,98207,NA,NA,NA
,,,NA,2008,2003,5,NA,NA,34141,NA,NA,NA
,,,NA,2007,2004,3,NA,NA,7337,NA,NA,NA
,,,NA,2008,2004,4,NA,NA,24719,NA,NA,NA
,,,NA,2009,2004,5,NA,NA,14010,NA,NA,NA
,,,NA,2008,2005,3,NA,NA,40174,NA,NA,NA
,,,NA,2009,2005,4,NA,NA,53736,NA,NA,NA
,,,NA,2010,2005,5,NA,NA,7856,NA,NA,NA
,,,NA,2009,2006,3,NA,NA,25075,NA,NA,NA
,,,NA,2010,2006,4,NA,NA,28844,NA,NA,NA
,,,NA,2011,2006,5,NA,NA,7770,NA,NA,NA
,,,NA,2010,2007,3,NA,NA,58577,NA,NA,NA
,,,NA,2011,2007,4,NA,NA,139160,NA,NA,NA
,,,NA,2012,2007,5,NA,NA,29167,NA,NA,NA
,,,NA,2011,2008,3,NA,NA,16068,NA,NA,NA
,,,NA,2012,2008,4,NA,NA,38065,NA,NA,NA
,,,NA,2013,2008,5,NA,NA,23128,NA,NA,NA
,,,NA,2012,2009,3,NA,NA,14658,NA,NA,NA
,,,NA,2013,2009,4,NA,NA,74959,NA,NA,NA
,,,NA,2014,2009,5,NA,NA,10751,NA,NA,NA
,,,NA,2013,2010,3,NA,NA,83043,NA,NA,NA
